id,title,genres,release_date,budget,avg_rating,runtime,profit,production_countries,production_companies,cast,director
381075,Teenage Cocktail,Thriller,2016-03-12,2.1604277457480315E7,3.127130699979394,88.0,4.681600329154089E7,UnitedStatesofAmerica,others,others,others
401061,Officer Downe,Comedy,2016-11-18,2.1604277457480315E7,3.127130699979394,88.0,4.681600329154089E7,UnitedStatesofAmerica,others,others,others
407588,Floyd Norman: An Animated Life,Documentary,2016-02-05,2.1604277457480315E7,3.127130699979394,94.0,4.681600329154089E7,UnitedStatesofAmerica,others,others,others
423536,Ghosts of Darkness,Horror,2017-03-01,2.1604277457480315E7,3.127130699979394,83.0,4.681600329154089E7,UnitedKingdom,others,others,others
43085,Dead and Deader,Comedy,2006-12-16,2.1604277457480315E7,3.127130699979394,89.0,4.681600329154089E7,UnitedStatesofAmerica,others,others,others
44032,Bending The Rules,Drama,2012-03-09,2.1604277457480315E7,3.127130699979394,83.0,4.681600329154089E7,UnitedStatesofAmerica,others,others,others
450768,Only For One Night,Thriller,2016-10-01,3500000,3.127130699979394,87.0,6.49202807490212E7,UnitedStatesofAmerica,others,others,others
45273,The Bleeding,Thriller,2009-11-02,7000000,3.127130699979394,80.0,6.14202807490212E7,UnitedStatesofAmerica,others,others,others
467,The Hole,Thriller,2001-04-20,2.1604277457480315E7,3.4284825870646767,102.0,4.681600329154089E7,UnitedKingdom,Canal+,others,others
47437,Tom Thumb,Adventure,2001-10-16,2.1604277457480315E7,3.127130699979394,90.0,4.681600329154089E7,France,others,others,others
56525,Boj S Tenyu 2: Revansh,Action,2007-10-18,6000000,3.127130699979394,135.0,5171900.0,Russia,others,others,others
57112,Tu la conosci Claudia?,Comedy,2004-12-15,2.1604277457480315E7,3.127130699979394,0.0,4.681600329154089E7,Italy,others,others,others
5925,The Great Escape,Thriller,1963-06-20,4000000,2.3333333333333335,172.0,7744471.0,UnitedStatesofAmerica,UnitedArtists,others,others
60897,"Happiness Is a Warm Blanket, Charlie Brown",Family,2011-03-29,2.1604277457480315E7,3.127130699979394,44.0,4.681600329154089E7,UnitedStatesofAmerica,others,others,others
65892,My Future Boyfriend,Comedy,2011-04-10,2.1604277457480315E7,3.127130699979394,73.0,4.681600329154089E7,UnitedStatesofAmerica,others,others,others
675,Harry Potter and the Order of the Phoenix,Family,2007-06-28,150000000,2.2903225806451615,138.0,7.88212738E8,UnitedStatesofAmerica,WarnerBros.,others,others
691,The Spy Who Loved Me,Thriller,1977-07-07,14000000,3.053090332805071,125.0,1.71438673E8,UnitedStatesofAmerica,others,others,others
77930,Magic Mike,Comedy,2012-06-28,7000000,3.127130699979394,110.0,1.60221571E8,UnitedStatesofAmerica,others,others,Steven Soderbergh
78313,Stopped on Track,Drama,2011-12-19,2.1604277457480315E7,3.2735849056603774,110.0,4.681600329154089E7,France,others,others,others
80243,Unknown Pleasures,Drama,2002-06-06,2.1604277457480315E7,2.25,113.0,4.681600329154089E7,France,others,others,others
829,Chinatown,Thriller,1974-06-20,6000000,2.684344722080571,130.0,2.4E7,UnitedStatesofAmerica,others,others,others
84188,Compliance,Crime,2012-08-23,2.1604277457480315E7,3.127130699979394,90.0,-2.1284992457480315E7,UnitedStatesofAmerica,others,others,others
9009,Dark Water,Thriller,2005-06-27,30000000,2.7,105.0,-4526907.0,UnitedStatesofAmerica,others,others,others
9030,The Eye,Thriller,2008-02-01,12000000,3.127130699979394,98.0,4.4309766E7,UnitedStatesofAmerica,others,others,others
9583,Divine Secrets of the Ya-Ya Sisterhood,Romance,2002-06-07,27000000,3.127130699979394,116.0,4.14202807490212E7,UnitedStatesofAmerica,others,others,others
9586,The Bonfire of the Vanities,Drama,1990-12-21,47000000,3.127130699979394,125.0,-3.1308808E7,UnitedStatesofAmerica,WarnerBros.,others,B.dePalma
98870,Think Of Me,Drama,2011-10-15,2.1604277457480315E7,3.127130699979394,103.0,4.681600329154089E7,UnitedStatesofAmerica,others,others,others
9993,Little Fish,Crime,2005-07-19,2.1604277457480315E7,3.127130699979394,114.0,4.681600329154089E7,Australia,others,others,others
100402,Captain America: The Winter Soldier,Adventure,2014-03-20,170000000,3.127130699979394,136.0,5.44766572E8,UnitedStatesofAmerica,others,others,others
10272,Jekyll + Hyde,Thriller,2006-05-05,2.1604277457480315E7,3.127130699979394,97.0,4.681600329154089E7,UnitedStatesofAmerica,others,others,others
10603,George of the Jungle,Romance,1997-07-15,55000000,3.127130699979394,92.0,1.3420280749021202E7,UnitedStatesofAmerica,WaltDisneyPictures,others,others
108348,A Woman Rebels,Romance,1936-11-06,2.1604277457480315E7,3.127130699979394,88.0,4.681600329154089E7,UnitedStatesofAmerica,RKORadioPictures,others,others
11236,The Secret Garden,Family,1993-08-13,2.1604277457480315E7,3.127130699979394,102.0,4.681600329154089E7,UnitedStatesofAmerica,others,others,others
11247,A Cinderella Story,Comedy,2004-07-10,19000000,3.127130699979394,95.0,5.1067909E7,Canada,others,others,others
11313,Hearts in Atlantis,Drama,2001-09-07,31000000,3.127130699979394,101.0,-6814219.0,Australia,WarnerBros.,others,others
116185,Billa II,Action,2012-07-13,2.1604277457480315E7,2.75,140.0,4.681600329154089E7,India,others,others,others
12637,"New York, New York",Romance,1977-06-21,2.1604277457480315E7,3.127130699979394,155.0,4.681600329154089E7,UnitedStatesofAmerica,UnitedArtists,others,Scorsese
131739,"Isoroku Yamamoto, the Commander-in-Chief of the Combined Fleet",War,2011-12-23,2.1604277457480315E7,3.2564102564102564,135.0,4.681600329154089E7,Japan,others,others,others
1372,Blood Diamond,Action,2006-12-07,100000000,3.295602540397138,143.0,7.0877916E7,Germany,others,others,others
137370,Pauline détective,Comedy,2012-10-01,2.1604277457480315E7,3.127130699979394,101.0,4.681600329154089E7,France,Canal+,others,others
15052,The Lodger,Thriller,2009-01-14,2.1604277457480315E7,3.127130699979394,96.0,4.681600329154089E7,UnitedStatesofAmerica,others,others,others
151138,The Visit,Romance,1964-01-01,2.1604277457480315E7,3.127130699979394,100.0,4.681600329154089E7,Italy,others,others,others
16639,Deliver Us from Evil,Thriller,2009-04-03,2.1604277457480315E7,3.127130699979394,100.0,4.681600329154089E7,Norway,others,others,others
172469,Love & Air Sex,Comedy,2013-10-08,2.1604277457480315E7,4.5,92.0,4.681600329154089E7,UnitedStatesofAmerica,others,others,others
187596,Walk of Shame,Comedy,2014-05-02,15000000,3.127130699979394,95.0,-1.4940791E7,UnitedStatesofAmerica,others,others,others
19369,3-Day Weekend,Drama,2008-06-03,2.1604277457480315E7,3.127130699979394,84.0,4.681600329154089E7,UnitedStatesofAmerica,others,others,others
2110,Wasabi,Comedy,2001-10-31,15300000,3.278630239520958,94.0,5.31202807490212E7,France,EuropaCorp,others,others
211144,The Party Never Stops: Diary of a Binge Drinker,Drama,2007-03-26,2.1604277457480315E7,3.127130699979394,90.0,4.681600329154089E7,Canada,others,others,others
21671,The Comedians of Comedy: Live at The Troubadour,Comedy,2007-09-18,2.1604277457480315E7,3.127130699979394,135.0,4.681600329154089E7,UnitedStatesofAmerica,others,others,others
21711,The Candidate,Drama,1972-08-23,2.1604277457480315E7,3.127130699979394,110.0,4.681600329154089E7,UnitedStatesofAmerica,others,others,others
23514,The Rum Diary,Comedy,2011-10-13,45000000,3.127130699979394,120.0,-2.1E7,UnitedStatesofAmerica,others,others,others
23592,In Enemy Hands,Thriller,2005-04-15,5400000,3.127130699979394,94.0,6.30202807490212E7,UnitedStatesofAmerica,others,others,others
240483,Robot Overlords,Action,2015-01-29,21000000,3.127130699979394,90.0,4.74202807490212E7,UnitedKingdom,others,others,others
24078,Off the Map,Drama,2003-01-22,2.1604277457480315E7,3.127130699979394,108.0,4.681600329154089E7,UnitedStatesofAmerica,others,others,others
244517,God's Pocket,Drama,2014-05-09,2.1604277457480315E7,3.127130699979394,88.0,-2.1434301457480315E7,UnitedStatesofAmerica,others,others,others
25350,Imaginary Heroes,Drama,2004-09-14,10000000,3.127130699979394,111.0,5.84202807490212E7,Germany,others,others,others
25532,Chronicle of an Escape,Thriller,2006-01-01,2.1604277457480315E7,3.127130699979394,103.0,4.681600329154089E7,Argentina,others,others,others
260202,Turks & Caicos,Action,2014-03-20,2.1604277457480315E7,3.127130699979394,95.0,4.681600329154089E7,UnitedKingdom,others,others,others
26686,California Suite,Romance,1978-12-15,2.1604277457480315E7,2.241509433962264,103.0,4.681600329154089E7,UnitedStatesofAmerica,others,Michael Caine,others
270383,A Daughter's Nightmare,Thriller,2014-05-03,2.1604277457480315E7,3.127130699979394,90.0,4.681600329154089E7,Canada,others,others,others
273641,Bad Grandpa .5,Comedy,2014-06-03,2.1604277457480315E7,3.127130699979394,76.0,4.681600329154089E7,UnitedStatesofAmerica,others,others,others
28288,The Gay Divorcee,Romance,1934-10-12,520000,3.127130699979394,107.0,6.79002807490212E7,UnitedStatesofAmerica,RKORadioPictures,others,others
28524,Princess of Mars,ScienceFiction,2009-12-29,2.1604277457480315E7,3.127130699979394,93.0,4.681600329154089E7,UnitedStatesofAmerica,The,others,others
289523,Midnight Masquerade,Romance,2014-09-27,2.1604277457480315E7,3.127130699979394,0.0,4.681600329154089E7,UnitedStatesofAmerica,others,others,others
29055,Sting of the Black Scorpion,Action,2002-11-06,2.1604277457480315E7,3.127130699979394,84.0,4.681600329154089E7,UnitedStatesofAmerica,others,others,others
290911,Paradies 505. Ein Niederbayernkrimi,Crime,2013-10-19,2.1604277457480315E7,3.127130699979394,97.6781920625635,4.681600329154089E7,Germany,others,others,others
31067,Fail Safe,Thriller,2000-04-09,2.1604277457480315E7,3.127130699979394,86.0,4.681600329154089E7,UnitedStatesofAmerica,others,others,Stephen Frears
312174,Unedited Footage of a Bear,Horror,2014-12-16,2.1604277457480315E7,3.127130699979394,11.0,4.681600329154089E7,UnitedStatesofAmerica,others,others,others
314402,Dheepan,Drama,2015-08-26,2.1604277457480315E7,3.127130699979394,115.0,-2.1355885457480315E7,France,Ciné+,others,others
32654,The Storm Warriors,Adventure,2009-12-10,100000000,3.127130699979394,150.0,-3.1579719250978798E7,HongKong,others,others,others
330275,Des roses en hiver,Drama,2014-09-12,2.1604277457480315E7,3.127130699979394,97.6781920625635,4.681600329154089E7,France,others,others,others
332283,Mary Shelley,Romance,2018-04-25,2.1604277457480315E7,3.127130699979394,0.0,4.681600329154089E7,others,others,others,others
33774,Tony Manero,Drama,2008-08-28,2.1604277457480315E7,3.127130699979394,97.0,4.681600329154089E7,others,others,others,others
346079,6 Ways to Die,Crime,2015-07-31,2.1604277457480315E7,3.127130699979394,103.0,4.681600329154089E7,UnitedStatesofAmerica,others,others,others
360404,"Monster High: Boo York, Boo York",Family,2015-10-19,2.1604277457480315E7,3.127130699979394,72.0,4.681600329154089E7,UnitedStatesofAmerica,others,others,others
365942,The Space Between Us,Drama,2017-01-26,30000000,3.127130699979394,121.0,-1.5206615E7,UnitedStatesofAmerica,others,others,others
378385,Jarhead 3: The Siege,Drama,2016-01-20,2.1604277457480315E7,3.127130699979394,95.0,4.681600329154089E7,UnitedStatesofAmerica,others,others,others
38318,Burnt by the Sun 2: Intercession,Drama,2010-04-22,55000000,3.127130699979394,180.0,1.3420280749021202E7,Russia,others,others,others
389323,Papa Hemingway in Cuba,Drama,2015-11-19,2.1604277457480315E7,3.127130699979394,109.0,4.681600329154089E7,Canada,others,others,others
39840,"If I Want to Whistle, I Whistle",Drama,2010-03-26,2.1604277457480315E7,3.127130699979394,94.0,4.681600329154089E7,Sweden,others,others,others
41009,Perrier’s Bounty,Drama,2009-09-11,2.1604277457480315E7,3.127130699979394,88.0,4.681600329154089E7,Ireland,others,others,others
44603,Hereafter,Drama,2010-10-15,50000000,3.127130699979394,129.0,5.5197635E7,UnitedStatesofAmerica,The,others,Clint Eastwood
45756,Saint,Comedy,2010-10-31,2.1604277457480315E7,3.25,85.0,4.681600329154089E7,Netherlands,others,others,others
48393,Kidnapped,Thriller,2010-06-17,2.1604277457480315E7,3.127130699979394,85.0,4.681600329154089E7,Spain,others,others,others
52364,Crisis,Thriller,1950-07-07,2.1604277457480315E7,3.127130699979394,95.0,4.681600329154089E7,UnitedStatesofAmerica,Metro-Goldwyn-Mayer(MGM),others,others
57500,Moomins and the Comet Chase,Adventure,2010-08-06,2.1604277457480315E7,3.127130699979394,75.0,4.681600329154089E7,Finland,others,Peter Stormare,others
57655,Spin,Romance,2007-01-26,5000000,3.326923076923077,90.0,6.34202807490212E7,UnitedStatesofAmerica,others,others,others
58559,Confession of a Child of the Century,Drama,2012-08-29,2.1604277457480315E7,4.182070707070707,120.0,4.681600329154089E7,Germany,others,others,others
68341,Cold Fish,Crime,2010-06-04,2.1604277457480315E7,3.127130699979394,144.0,4.681600329154089E7,Japan,others,others,Sion Sono
70665,Flatland: The Film,ScienceFiction,2007-01-14,2.1604277457480315E7,3.127130699979394,98.0,4.681600329154089E7,UnitedStatesofAmerica,others,others,others
70758,"Hey, Boo: Harper Lee & To Kill a Mockingbird",Documentary,2011-05-13,2.1604277457480315E7,3.127130699979394,82.0,-2.1577789457480315E7,UnitedStatesofAmerica,others,others,others
72890,Girl Most Likely,Comedy,2012-09-07,2.1604277457480315E7,3.127130699979394,103.0,4.681600329154089E7,UnitedStatesofAmerica,others,others,others
74726,Juan of the Dead,Comedy,2011-10-14,2.1604277457480315E7,3.127130699979394,100.0,4.681600329154089E7,Spain,others,others,others
77786,The Net,Documentary,2003-10-01,2.1604277457480315E7,3.127130699979394,121.0,4.681600329154089E7,Germany,others,others,others
81342,Delicacy,Romance,2011-12-20,2.1604277457480315E7,3.127130699979394,108.0,-1.1908073457480315E7,France,StudioCanal,others,others
8386,How High,Comedy,2001-12-21,12000000,3.127130699979394,93.0,1.9155435E7,UnitedStatesofAmerica,others,others,others
84329,Robot & Frank,Crime,2012-08-16,2500000,2.0833333333333335,85.0,825038.0,UnitedStatesofAmerica,others,others,others
853,Enemy at the Gates,War,2001-03-13,68000000,3.2983193277310923,131.0,2.897627E7,Germany,others,others,others
